"","nbr.val","nbr.null","nbr.na","min","max","range","sum","median","mean","SE.mean","CI.mean.0.95","var","std.dev","coef.var"
"VALUESCORE308",22115,17677,73110,0,0.991379310344828,0.991379310344828,3898.67612552175,0,0.17629102986759,0.0023702123008519,0.00464578502271839,0.12423999895479,0.352476948118298,1.99940376083253
"VALUESCORE311",48657,39828,46568,0,0.99537037037037,0.99537037037037,7813.78299097281,0,0.160589082577487,0.00154958526752516,0.00303720686872751,0.116835893991264,0.341812659202762,2.12849250843581
"VALUESCORE312",5589,0,89636,0.0034965034965035,0.928571428571429,0.925074925074925,2793.77087940971,0.625,0.499869543641028,0.00335849976963626,0.00658396467665645,0.0630412412070931,0.251080148970589,0.502291352143065
"VALUESCORE330",87582,52590,7643,0,0.991935483870968,0.991935483870968,25765.0836966107,0,0.294182408447063,0.00123875380427183,0.00242794639616537,0.134395541315803,0.366599974516915,1.24616552176634
"VALUESCORE332",231,0,94994,0.0178571428571429,0.981481481481482,0.963624338624339,112.913237746659,0.5,0.488801895007181,0.019125200765175,0.0376829907378891,0.084493633295206,0.290677885803523,0.594674220318341
"VALUESCORE340",88970,62968,6255,0,0.99438202247191,0.99438202247191,21464.2871215168,0,0.241253086675472,0.00126427033001886,0.00247795802454021,0.142207821211553,0.377104522926407,1.56310755697679
"VALUESCORE341",89628,53372,5597,0,0.991525423728814,0.991525423728814,27869.583832793,0,0.310947291391005,0.00126965965661088,0.0024885208057158,0.144483530666845,0.380109892882104,1.22242548305118
"VALUESCORE342",57276,35279,37949,0,0.995762711864407,0.995762711864407,18162.9022853128,0,0.317111919221189,0.00168877684944391,0.00331001175167766,0.163349276051642,0.404164911950112,1.27451819831535
"VALUESCORE343",84248,72110,10977,0,0.995689655172414,0.995689655172414,10952.4556683815,0,0.130002559922865,0.00109313604412336,0.00214253805821739,0.100671845230699,0.317288268347096,2.44063092707831
"VALUESCORE344",89147,54551,6078,0,0.989010989010989,0.989010989010989,26903.5835145626,0,0.301788994745337,0.00127781110221139,0.00250449774376551,0.145559329729488,0.38152238430987,1.26420244260999
"VALUESCORE347",83540,65542,11685,0,0.993670886075949,0.993670886075949,15784.3618323947,0,0.188943761460315,0.00124940829559688,0.00244883074152124,0.130407701783941,0.361120065606913,1.91125688837713
"VALUESCORE350",17661,13003,77564,0,0.988888888888889,0.988888888888889,3784.83429636988,0,0.214304642793153,0.00271219866098073,0.00531617604915981,0.129914697064786,0.36043681424736,1.68188990004875
"VALUESCORE351",91770,38261,3455,0,0.978571428571429,0.978571428571429,36474.1177913691,0.599476439790576,0.39745143065674,0.00112535693115371,0.00220568814618979,0.11622011797843,0.340910718485691,0.857741832561471
"VALUESCORE352",89855,52673,5370,0,0.992753623188406,0.992753623188406,28100.3747087795,0,0.312730228799505,0.00125380759294162,0.00245745082842024,0.141255068356009,0.375839152239371,1.20179988254454
"VALUESCORE353",50250,37170,44975,0,0.993150684931507,0.993150684931507,10706.9393719955,0,0.213073420338219,0.00161560911477812,0.00316661195328459,0.131162188790645,0.362163207395015,1.69971086407747
"VALUESCORE354",89572,51246,5653,0,0.990384615384615,0.990384615384615,28648.7204624531,0,0.31984013377454,0.00125027761832351,0.0024505322164,0.140018423974671,0.374190357939206,1.16992934414847
"VALUESCORE359",81503,63915,13722,0,0.987179487179487,0.987179487179487,15443.9730886141,0,0.18948962723598,0.00126795234409908,0.00248517783525856,0.131032629582308,0.361984294662501,1.91031192547393
"VALUESCORE360",67624,56186,27601,0,0.991935483870968,0.991935483870968,10190.1363150441,0,0.150688162709159,0.00128739166782255,0.00252328646649702,0.112078482966568,0.334781246437981,2.22168244949763
"VALUESCORE362",44721,35619,50504,0,0.992537313432836,0.992537313432836,7742.21531283396,0,0.173122589227297,0.00162832103219307,0.00319153695855337,0.118574573476601,0.34434658917521,1.98903326661264
"VALUESCORE363",6083,0,89142,0.00423728813559322,0.997005988023952,0.992768699888359,3042.49355216109,0.5,0.50016333259265,0.00364292687431969,0.00714142666590563,0.08072698331541,0.284124943141939,0.568064319447703
"VALUESCORE366",10392,0,84833,0.0033112582781457,0.996774193548387,0.993462935270241,5138.71615176517,0.5,0.494487697436987,0.00281049253091268,0.00550910584993142,0.0820850390235553,0.28650486736451,0.579397361854526
"VALUESCORE369",39084,0,56141,0.00120481927710847,0.998780487804878,0.99757566852777,19581.8448940259,0.5,0.501019468171782,0.0014509417551022,0.00284388165602879,0.0822808865773053,0.286846451219647,0.572525559268881
"VALUESCORE370",12462,0,82763,0.00471698113207547,0.996969696969697,0.992252715837621,6144.87582929229,0.495003488835726,0.493089057076897,0.00256348095593172,0.00502481841968672,0.0818932181275736,0.286169911289733,0.580361513163949
"VALUESCORE371",35252,0,59973,0.00141643059490082,0.998579545454545,0.997163114859645,17559.3557023207,0.5,0.498109488889162,0.00153194030615879,0.00300265092433736,0.0827308425147979,0.287629696858301,0.577442717463074
"VALUESCORE376",89506,0,5719,0.000140845070422557,0.996913580246914,0.996772735176491,44534.243152852,0.492063492063492,0.497555953264049,0.000938440615950613,0.0018393346819755,0.078825319699824,0.280758472178177,0.56427517415148
"VALUESCORE381",93271,39555,1954,0,0.988636363636364,0.988636363636364,36055.5792497535,0.53921568627451,0.386567949842432,0.00111819261083541,0.00219164568599401,0.116621834615947,0.341499391823686,0.883413619682863
"VALUESCORE400",93299,21631,1926,0,0.981481481481482,0.981481481481482,41701.096322333,0.519301470588235,0.446961878716096,0.00085041419942184,0.00166680282641078,0.0674742389726438,0.259758039283953,0.581163744948701
"VALUESCORE406",93142,42492,2083,0,0.994623655913978,0.994623655913978,32346.3136871498,0.528061224489796,0.347279569766054,0.00107691398064323,0.00211074004551053,0.108020849727032,0.328665254821729,0.946399625647821
"VALUESCORE408",73462,2581,21763,0,0.833333333333333,0.833333333333333,36448.2019337449,0.500993541977149,0.496150417001237,0.000365399355486212,0.000716181376735536,0.00980840300656421,0.0990373818644466,0.199611606623319
"VALUESCORE411",90031,13842,5194,0,0.928571428571429,0.928571428571429,42711.1433306838,0.532775050534219,0.474404853113747,0.000700471950711919,0.00137291825310578,0.0441746963256403,0.210177773148448,0.443034618573039
"VALUESCORE413",85917,0,9308,0.000143389733295096,0.9,0.899856610266705,42935.1534714175,0.503421727972626,0.499728266482972,0.000244633451005147,0.000479479508178452,0.00514174800155504,0.0717059830248149,0.143489948106144
"VALUESCORE416",94652,0,573,0.000306372549019662,0.998514851485149,0.998208478936129,46642.3085464573,0.553435114503817,0.492776788091718,0.000855978403020309,0.00167770829542071,0.0693514282503337,0.26334659339041,0.53441355143821
"VALUESCORE417",94654,12618,571,0,0.954545454545455,0.954545454545455,44944.7707666175,0.533018867924528,0.474832239172328,0.000630357406450257,0.00123549361276424,0.0376108104282221,0.193935067556701,0.408428601846298
"VALUESCORE419",10870,0,84355,0.00130890052356025,0.99869109947644,0.997382198952879,5450.52110534863,0.5,0.501427884576691,0.00268764420528151,0.00526827251586623,0.078518699037372,0.280211882398609,0.558827881371548
"VALUESCORE420",63444,0,31781,0.000177179305457131,0.996951219512195,0.996774040206738,31706.6868590437,0.5,0.499758635316873,0.00114062137525973,0.00223561946661006,0.082541730269097,0.287300766217386,0.57487904343108
